Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Eberechi Eze,eng ENG,FW,27-081,2,1,99.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,5.0,4.0,10.0,0.0,0.91,0.91,0.0,0.91,0.05,0.42,0.47,0.05,0.47,Matches,Arsenal
Ben White,eng ENG,DF,27-345,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches,Arsenal
Ethan Nwaneri,eng ENG,MF,18-181,2,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches,Arsenal
Myles Lewis-Skelly,eng ENG,DF,18-357,3,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Leandro Trossard,be BEL,FW,30-288,2,0,50.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,1.0,4.0,0.0,1.8,1.8,0.0,1.8,0.13,0.23,0.36,0.13,0.36,Matches,Arsenal
Kai Havertz,de GER,FW,26-099,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Max Dowman,eng ENG,FW,15-261,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches,Arsenal
Andre Annous,eng ENG,FW,17-265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Kepa Arrizabalaga,es ESP,GK,30-350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Piero Hincapié,ec ECU,DF,23-252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Jakub Kiwior,pl POL,"DF,MF",25-215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Squad Total,,,25.7,4,44,360.0,4.0,9.0,6.0,15.0,8.0,1.0,1.0,7.0,0.0,6.2,5.5,3.2,8.6,88.0,145.0,141.0,2.25,1.5,3.75,2.0,3.5,1.56,0.79,2.36,1.36,2.16,,Arsenal
Opponent Total,,,26.4,4,44,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.4,2.4,1.9,4.2,75.0,110.0,110.0,0.25,0.0,0.25,0.25,0.25,0.6,0.46,1.06,0.6,1.06,,Arsenal
Cristian Romero,ar ARG,DF,27-144,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,1.0,15.0,0.0,0.0,0.25,0.25,0.0,0.25,0.02,0.04,0.05,0.02,0.05,Matches,Tottenham-Hotspur
Guglielmo Vicario,it ITA,GK,28-346,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Mohammed Kudus,gh GHA,"FW,MF",25-047,4,4,349.0,3.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,1.6,10.0,6.0,25.0,0.0,0.52,0.52,0.0,0.52,0.14,0.29,0.42,0.14,0.42,Matches,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,24-152,4,4,349.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.7,4.0,6.0,0.0,0.26,0.0,0.26,0.26,0.26,0.17,0.02,0.19,0.17,0.19,Matches,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,23-004,4,4,345.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.8,3.0,12.0,14.0,0.26,0.26,0.52,0.26,0.52,0.08,0.12,0.2,0.08,0.2,Matches,Tottenham-Hotspur
Pedro Porro,es ESP,DF,26-005,4,4,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,10.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.18,0.03,0.18,Matches,Tottenham-Hotspur
Djed Spence,eng ENG,DF,25-040,4,4,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,15.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Tottenham-Hotspur
